Path,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
HLT_DoublePhoton60,1.060000,+/-,0.021162,1.148558,+/-,0.022930,0.000000,+/-,0.000000,1.148558,+/-,0.022930,999.000000,+/-,0.000000
HLT_Ele23_CaloIdM_TrackIdM_PFJet30,0.580000,+/-,0.015613,0.628456,+/-,0.016917,0.000000,+/-,0.000000,0.628456,+/-,0.016917,999.000000,+/-,0.000000
HLT_PixelTracks_Multiplicity135ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Mu10_CentralPFJet30_BTagCSV0p54PF,1.020000,+/-,0.020687,1.105216,+/-,0.022416,0.000000,+/-,0.000000,1.105216,+/-,0.022416,999.000000,+/-,0.000000
HLT_VBF_DisplacedJet40_VVTightID_Hadronic,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Mu3er_PFHT140_PFMET125_JetIdCleaned,0.190000,+/-,0.009058,0.205874,+/-,0.009815,0.000000,+/-,0.000000,0.205874,+/-,0.009815,999.000000,+/-,0.000000
HLT_Ele15_IsoVVVL_PFHT350_PFMET50,0.770000,+/-,0.018029,0.834330,+/-,0.019536,0.000000,+/-,0.000000,0.834330,+/-,0.019536,999.000000,+/-,0.000000
HLT_AK4PFJet80,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Mu7p5_Track3p5_Upsilon,0.280000,+/-,0.010883,0.303393,+/-,0.011792,0.000000,+/-,0.000000,0.303393,+/-,0.011792,999.000000,+/-,0.000000
HLT_AK4PFJet100,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,5.450000,+/-,0.047866,5.905320,+/-,0.051865,0.000000,+/-,0.000000,5.905320,+/-,0.051865,999.000000,+/-,0.000000
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70,0.900000,+/-,0.019446,0.975191,+/-,0.021071,0.000000,+/-,0.000000,0.975191,+/-,0.021071,999.000000,+/-,0.000000
HLT_Ele27_eta2p1_WPLoose_Gsf,33.180000,+/-,0.118138,35.952024,+/-,0.128008,0.000000,+/-,0.000000,35.952024,+/-,0.128008,999.000000,+/-,0.000000
HLT_Mu8_DiEle12_CaloIdL_TrackIdL,0.230000,+/-,0.009925,0.249215,+/-,0.010754,0.000000,+/-,0.000000,0.249215,+/-,0.010754,999.000000,+/-,0.000000
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,3.730000,+/-,0.039625,4.041623,+/-,0.042935,0.000000,+/-,0.000000,4.041623,+/-,0.042935,999.000000,+/-,0.000000
HLT_Mu6_PFHT200_PFMET80_JetIdCleaned_BTagCSV0p72,0.500000,+/-,0.014470,0.541773,+/-,0.015679,0.000000,+/-,0.000000,0.541773,+/-,0.015679,999.000000,+/-,0.000000
HLT_DoubleMu4_JpsiTrk_Displaced,5.780000,+/-,0.049314,6.262890,+/-,0.053433,0.000000,+/-,0.000000,6.262890,+/-,0.053433,999.000000,+/-,0.000000
HLT_Mu7p5_Track7_Jpsi,0.630000,+/-,0.016250,0.682633,+/-,0.017608,0.000000,+/-,0.000000,0.682633,+/-,0.017608,999.000000,+/-,0.000000
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500,0.820000,+/-,0.018536,0.888507,+/-,0.020085,0.000000,+/-,0.000000,0.888507,+/-,0.020085,999.000000,+/-,0.000000
HLT_PFHT250,0.360000,+/-,0.012341,0.390076,+/-,0.013372,0.000000,+/-,0.000000,0.390076,+/-,0.013372,999.000000,+/-,0.000000
HLT_Mu7p5_Track2_Jpsi,1.590000,+/-,0.025896,1.722837,+/-,0.028059,0.000000,+/-,0.000000,1.722837,+/-,0.028059,999.000000,+/-,0.000000
HLT_Ele15_IsoVVVL_PFHT350,4.860000,+/-,0.045190,5.266029,+/-,0.048966,0.000000,+/-,0.000000,5.266029,+/-,0.048966,999.000000,+/-,0.000000
HLT_PixelTracks_Multiplicity85ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Ele15_IsoVVVL_PFHT600,0.670000,+/-,0.016755,0.725975,+/-,0.018155,0.000000,+/-,0.000000,0.725975,+/-,0.018155,999.000000,+/-,0.000000
HLT_Mu17_Photon30_CaloIdL_L1ISO,1.520000,+/-,0.025295,1.646988,+/-,0.027408,0.000000,+/-,0.000000,1.646988,+/-,0.027408,999.000000,+/-,0.000000
HLT_DoubleJet90_Double30_DoubleBTagCSV0p67,1.240000,+/-,0.022803,1.343596,+/-,0.024708,0.000000,+/-,0.000000,1.343596,+/-,0.024708,999.000000,+/-,0.000000
HLT_Mu17_TrkIsoVVL,15.210000,+/-,0.079974,16.480720,+/-,0.086655,0.000000,+/-,0.000000,16.480720,+/-,0.086655,999.000000,+/-,0.000000
HLT_IsoMu20_eta2p1_LooseIsoPFTau20,1.330000,+/-,0.023641,1.441115,+/-,0.025616,0.000000,+/-,0.000000,1.441115,+/-,0.025616,999.000000,+/-,0.000000
HLT_BTagMu_DiJet70_Mu5,21.910000,+/-,0.095984,23.740472,+/-,0.104003,0.000000,+/-,0.000000,23.740472,+/-,0.104003,999.000000,+/-,0.000000
HLT_HT275,0.450000,+/-,0.013744,0.487595,+/-,0.014892,0.000000,+/-,0.000000,0.487595,+/-,0.014892,999.000000,+/-,0.000000
HLT_IsoMu22_CentralPFJet30_BTagCSV07,1.180000,+/-,0.022280,1.278583,+/-,0.024141,0.000000,+/-,0.000000,1.278583,+/-,0.024141,999.000000,+/-,0.000000
HLT_HT470to500,14.350000,+/-,0.077677,15.548871,+/-,0.084166,0.000000,+/-,0.000000,15.548871,+/-,0.084166,999.000000,+/-,0.000000
HLT_HIL2DoubleMu0BPTX,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_HT575,0.380000,+/-,0.012723,0.411747,+/-,0.013786,0.000000,+/-,0.000000,0.411747,+/-,0.013786,999.000000,+/-,0.000000
HLT_Ele105_CaloIdVT_GsfTrkIdT,3.320000,+/-,0.037388,3.597370,+/-,0.040512,0.000000,+/-,0.000000,3.597370,+/-,0.040512,999.000000,+/-,0.000000
HLT_DiPFJetAve260,0.730000,+/-,0.017566,0.790988,+/-,0.019034,0.000000,+/-,0.000000,0.790988,+/-,0.019034,999.000000,+/-,0.000000
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40,2.130000,+/-,0.029917,2.307951,+/-,0.032416,0.000000,+/-,0.000000,2.307951,+/-,0.032416,999.000000,+/-,0.000000
HLT_Dimuon8_Upsilon_Barrel,3.520000,+/-,0.038461,3.814079,+/-,0.041675,0.000000,+/-,0.000000,3.814079,+/-,0.041675,999.000000,+/-,0.000000
HLT_PFHT400,1.080000,+/-,0.021271,1.170229,+/-,0.023048,0.000000,+/-,0.000000,1.170229,+/-,0.023048,999.000000,+/-,0.000000
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1,1.650000,+/-,0.026310,1.787849,+/-,0.028508,0.000000,+/-,0.000000,1.787849,+/-,0.028508,999.000000,+/-,0.000000
HLT_Photon165_R9Id90_HE10_IsoM,0.360000,+/-,0.012319,0.390076,+/-,0.013348,0.000000,+/-,0.000000,0.390076,+/-,0.013348,999.000000,+/-,0.000000
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40,0.390000,+/-,0.012741,0.422583,+/-,0.013805,0.000000,+/-,0.000000,0.422583,+/-,0.013805,999.000000,+/-,0.000000
HLT_JetE50_NoBPTX3BX_NoHalo,1.130000,+/-,0.021832,1.224406,+/-,0.023656,0.000000,+/-,0.000000,1.224406,+/-,0.023656,999.000000,+/-,0.000000
HLT_IsoMu16_eta2p1_MET30_JetIdCleaned,2.620000,+/-,0.033218,2.838888,+/-,0.035993,0.000000,+/-,0.000000,2.838888,+/-,0.035993,999.000000,+/-,0.000000
HLT_HT550_DisplacedDijet40_Inclusive,0.480000,+/-,0.014235,0.520102,+/-,0.015424,0.000000,+/-,0.000000,0.520102,+/-,0.015424,999.000000,+/-,0.000000
HLT_PFMET170,5.080000,+/-,0.046230,5.504409,+/-,0.050092,0.000000,+/-,0.000000,5.504409,+/-,0.050092,999.000000,+/-,0.000000
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight,0.150000,+/-,0.008018,0.162532,+/-,0.008688,0.000000,+/-,0.000000,0.162532,+/-,0.008688,999.000000,+/-,0.000000
HLT_AK4PFJet30,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Photon22,0.650000,+/-,0.016483,0.704304,+/-,0.017861,0.000000,+/-,0.000000,0.704304,+/-,0.017861,999.000000,+/-,0.000000
HLT_PFMET90_PFMHT90_IDTight,4.850000,+/-,0.045185,5.255193,+/-,0.048960,0.000000,+/-,0.000000,5.255193,+/-,0.048960,999.000000,+/-,0.000000
HLT_PFMET120_PFMHT120_IDTight,1.500000,+/-,0.025080,1.625318,+/-,0.027176,0.000000,+/-,0.000000,1.625318,+/-,0.027176,999.000000,+/-,0.000000
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200,5.620000,+/-,0.048622,6.089523,+/-,0.052684,0.000000,+/-,0.000000,6.089523,+/-,0.052684,999.000000,+/-,0.000000
HLT_MET60_IsoTrk35_Loose,0.040000,+/-,0.004364,0.043342,+/-,0.004729,0.000000,+/-,0.000000,0.043342,+/-,0.004729,999.000000,+/-,0.000000
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing,1.850000,+/-,0.027902,2.004558,+/-,0.030234,0.000000,+/-,0.000000,2.004558,+/-,0.030234,999.000000,+/-,0.000000
HLT_RsqMR270_Rsq0p09_MR200,0.960000,+/-,0.020052,1.040203,+/-,0.021728,0.000000,+/-,0.000000,1.040203,+/-,0.021728,999.000000,+/-,0.000000
HLT_DoubleMu23NoFiltersNoVtxDisplaced,0.070000,+/-,0.005483,0.075848,+/-,0.005941,0.000000,+/-,0.000000,0.075848,+/-,0.005941,999.000000,+/-,0.000000
HLT_Mu12_Photon25_CaloIdL_L1ISO,0.020000,+/-,0.002649,0.021671,+/-,0.002870,0.000000,+/-,0.000000,0.021671,+/-,0.002870,999.000000,+/-,0.000000
HLT_Ele115_CaloIdVT_GsfTrkIdT,2.410000,+/-,0.031815,2.611344,+/-,0.034473,0.000000,+/-,0.000000,2.611344,+/-,0.034473,999.000000,+/-,0.000000
HLT_DoubleMu8_Mass8_PFHT300,0.430000,+/-,0.013451,0.465924,+/-,0.014574,0.000000,+/-,0.000000,0.465924,+/-,0.014574,999.000000,+/-,0.000000
HLT_Mu7p5_Track3p5_Jpsi,1.400000,+/-,0.024297,1.516963,+/-,0.026327,0.000000,+/-,0.000000,1.516963,+/-,0.026327,999.000000,+/-,0.000000
AlCa_LumiPixels_Random,47.520000,+/-,0.141379,51.490060,+/-,0.153191,0.000000,+/-,0.000000,51.490060,+/-,0.153191,999.000000,+/-,0.000000
HLT_Mu28NoFiltersNoVtx_CentralCaloJet40,0.280000,+/-,0.010809,0.303393,+/-,0.011712,0.000000,+/-,0.000000,0.303393,+/-,0.011712,999.000000,+/-,0.000000
HLT_Mu8_TrkIsoVVL,0.630000,+/-,0.016321,0.682633,+/-,0.017685,0.000000,+/-,0.000000,0.682633,+/-,0.017685,999.000000,+/-,0.000000
HLT_HcalCalibration,6.560000,+/-,0.052522,7.108055,+/-,0.056910,0.000000,+/-,0.000000,7.108055,+/-,0.056910,999.000000,+/-,0.000000
HLT_Ele18_CaloIdM_TrackIdM_PFJet30,3.750000,+/-,0.039699,4.063294,+/-,0.043015,0.000000,+/-,0.000000,4.063294,+/-,0.043015,999.000000,+/-,0.000000
HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose,0.890000,+/-,0.019375,0.964355,+/-,0.020994,0.000000,+/-,0.000000,0.964355,+/-,0.020994,999.000000,+/-,0.000000
HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5,0.620000,+/-,0.016132,0.671798,+/-,0.017480,0.000000,+/-,0.000000,0.671798,+/-,0.017480,999.000000,+/-,0.000000
HLT_Physics,10.050000,+/-,0.065026,10.889628,+/-,0.070458,0.000000,+/-,0.000000,10.889628,+/-,0.070458,999.000000,+/-,0.000000
HLT_Mu30_TkMu11,2.850000,+/-,0.034622,3.088103,+/-,0.037515,0.000000,+/-,0.000000,3.088103,+/-,0.037515,999.000000,+/-,0.000000
HLT_PFHT550_4Jet,1.040000,+/-,0.020951,1.126887,+/-,0.022702,0.000000,+/-,0.000000,1.126887,+/-,0.022702,999.000000,+/-,0.000000
HLT_Mu17_Mu8,0.560000,+/-,0.015390,0.606785,+/-,0.016676,0.000000,+/-,0.000000,0.606785,+/-,0.016676,999.000000,+/-,0.000000
HLT_DoubleMu28NoFiltersNoVtxDisplaced,0.030000,+/-,0.003665,0.032506,+/-,0.003971,0.000000,+/-,0.000000,0.032506,+/-,0.003971,999.000000,+/-,0.000000
HLT_CaloJet500_NoJetID,1.850000,+/-,0.027880,2.004558,+/-,0.030210,0.000000,+/-,0.000000,2.004558,+/-,0.030210,999.000000,+/-,0.000000
HLT_DiPFJetAve40,16.370000,+/-,0.082966,17.737632,+/-,0.089898,0.000000,+/-,0.000000,17.737632,+/-,0.089898,999.000000,+/-,0.000000
HLT_Photon90_CaloIdL_PFHT600,1.180000,+/-,0.022320,1.278583,+/-,0.024185,0.000000,+/-,0.000000,1.278583,+/-,0.024185,999.000000,+/-,0.000000
HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10,0.710000,+/-,0.017230,0.769317,+/-,0.018670,0.000000,+/-,0.000000,0.769317,+/-,0.018670,999.000000,+/-,0.000000
HLT_GlobalRunHPDNoise,3.350000,+/-,0.037546,3.629876,+/-,0.040683,0.000000,+/-,0.000000,3.629876,+/-,0.040683,999.000000,+/-,0.000000
HLT_Ele27_WPLoose_Gsf_WHbbBoost,0.860000,+/-,0.019073,0.931849,+/-,0.020667,0.000000,+/-,0.000000,0.931849,+/-,0.020667,999.000000,+/-,0.000000
HLT_Photon50,0.580000,+/-,0.015664,0.628456,+/-,0.016973,0.000000,+/-,0.000000,0.628456,+/-,0.016973,999.000000,+/-,0.000000
HLT_HT350_DisplacedDijet40_DisplacedTrack,0.220000,+/-,0.009611,0.238380,+/-,0.010414,0.000000,+/-,0.000000,0.238380,+/-,0.010414,999.000000,+/-,0.000000
HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL,0.360000,+/-,0.012226,0.390076,+/-,0.013248,0.000000,+/-,0.000000,0.390076,+/-,0.013248,999.000000,+/-,0.000000
HLT_PFMET110_PFMHT110_IDTight,2.090000,+/-,0.029643,2.264609,+/-,0.032120,0.000000,+/-,0.000000,2.264609,+/-,0.032120,999.000000,+/-,0.000000
HLT_AK4CaloJet50,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Mu20_Mu10_SameSign_DZ,0.580000,+/-,0.015676,0.628456,+/-,0.016985,0.000000,+/-,0.000000,0.628456,+/-,0.016985,999.000000,+/-,0.000000
HLT_QuadJet45_DoubleBTagCSV0p67,1.080000,+/-,0.021358,1.170229,+/-,0.023142,0.000000,+/-,0.000000,1.170229,+/-,0.023142,999.000000,+/-,0.000000
HLT_Mu34_TrkIsoVVL,0.480000,+/-,0.014273,0.520102,+/-,0.015465,0.000000,+/-,0.000000,0.520102,+/-,0.015465,999.000000,+/-,0.000000
HLT_MET300,1.390000,+/-,0.024149,1.506128,+/-,0.026167,0.000000,+/-,0.000000,1.506128,+/-,0.026167,999.000000,+/-,0.000000
HLT_PFJet140,0.260000,+/-,0.010493,0.281722,+/-,0.011369,0.000000,+/-,0.000000,0.281722,+/-,0.011369,999.000000,+/-,0.000000
HLT_Photon165_HE10,2.310000,+/-,0.031148,2.502989,+/-,0.033750,0.000000,+/-,0.000000,2.502989,+/-,0.033750,999.000000,+/-,0.000000
HLT_PixelTracks_Multiplicity60ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_PixelTracks_Multiplicity160ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,5.090000,+/-,0.046282,5.515244,+/-,0.050149,0.000000,+/-,0.000000,5.515244,+/-,0.050149,999.000000,+/-,0.000000
HLT_DiCentralPFJet55_PFMET110_JetIdCleaned,1.010000,+/-,0.020595,1.094380,+/-,0.022316,0.000000,+/-,0.000000,1.094380,+/-,0.022316,999.000000,+/-,0.000000
HLT_VBF_DisplacedJet40_DisplacedTrack,0.510000,+/-,0.014607,0.552608,+/-,0.015828,0.000000,+/-,0.000000,0.552608,+/-,0.015828,999.000000,+/-,0.000000
HLT_FullTrack50,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Ele18_CaloIdL_TrackIdL_IsoVL_PFJet30,2.290000,+/-,0.031037,2.481318,+/-,0.033630,0.000000,+/-,0.000000,2.481318,+/-,0.033630,999.000000,+/-,0.000000
HLT_DoubleJetsC100_DoubleBTagCSV0p9_DoublePFJetsC100MaxDeta1p6,1.650000,+/-,0.026323,1.787849,+/-,0.028523,0.000000,+/-,0.000000,1.787849,+/-,0.028523,999.000000,+/-,0.000000
AlCa_RPCMuonNoHits,978.730000,+/-,0.641587,1060.498038,+/-,0.695189,0.000000,+/-,0.000000,1060.498038,+/-,0.695189,999.000000,+/-,0.000000
HLT_HISinglePhoton15ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf,0.710000,+/-,0.017291,0.769317,+/-,0.018736,0.000000,+/-,0.000000,0.769317,+/-,0.018736,999.000000,+/-,0.000000
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF,1.070000,+/-,0.021222,1.159393,+/-,0.022996,0.000000,+/-,0.000000,1.159393,+/-,0.022996,999.000000,+/-,0.000000
HLT_HISinglePhoton10ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg,6.240000,+/-,0.051249,6.761321,+/-,0.055531,0.000000,+/-,0.000000,6.761321,+/-,0.055531,999.000000,+/-,0.000000
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight,0.320000,+/-,0.011608,0.346734,+/-,0.012577,0.000000,+/-,0.000000,0.346734,+/-,0.012577,999.000000,+/-,0.000000
HLT_Dimuon8_PsiPrime_Barrel,1.960000,+/-,0.028678,2.123748,+/-,0.031074,0.000000,+/-,0.000000,2.123748,+/-,0.031074,999.000000,+/-,0.000000
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose,0.370000,+/-,0.012480,0.400912,+/-,0.013522,0.000000,+/-,0.000000,0.400912,+/-,0.013522,999.000000,+/-,0.000000
HLT_AK4CaloJet100,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Ele27_eta2p1_WPTight_Gsf,22.100000,+/-,0.096413,23.946345,+/-,0.104468,0.000000,+/-,0.000000,23.946345,+/-,0.104468,999.000000,+/-,0.000000
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack,2.780000,+/-,0.034204,3.012255,+/-,0.037061,0.000000,+/-,0.000000,3.012255,+/-,0.037061,999.000000,+/-,0.000000
HLT_HT400_DisplacedDijet40_Inclusive,2.190000,+/-,0.030379,2.372964,+/-,0.032917,0.000000,+/-,0.000000,2.372964,+/-,0.032917,999.000000,+/-,0.000000
HLT_IsoMu18_TriCentralPFJet50_40_30,0.410000,+/-,0.013137,0.444253,+/-,0.014235,0.000000,+/-,0.000000,0.444253,+/-,0.014235,999.000000,+/-,0.000000
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40,0.920000,+/-,0.019695,0.996861,+/-,0.021341,0.000000,+/-,0.000000,0.996861,+/-,0.021341,999.000000,+/-,0.000000
HLT_Mu7p5_Track2_Upsilon,0.510000,+/-,0.014716,0.552608,+/-,0.015946,0.000000,+/-,0.000000,0.552608,+/-,0.015946,999.000000,+/-,0.000000
HLT_HISinglePhoton60,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
