Path	Group	Primary dataset	Total	ParkingZeroBias0	ParkingZeroBias1	ParkingZeroBias2	ParkingZeroBias3
HLT_L1FatEvents_part1_v1	TSG	HLTPhysics1	291258	73049	72760	72758	72691
HLT_L1FatEvents_part3_v1	TSG	HLTPhysics3	291258	73049	72760	72758	72691
HLT_Physics_v4	TSG	HLTPhysics	291258	73049	72760	72758	72691
HLT_L1FatEvents_v1	TSG	HLTPhysics	291258	73049	72760	72758	72691
HLT_L1FatEvents_part2_v1	TSG	HLTPhysics2	291258	73049	72760	72758	72691
HLT_L1FatEvents_part0_v1	TSG	HLTPhysics0	291258	73049	72760	72758	72691
HLT_Ele27_eta2p1_WPLoose_Gsf_v6	EGM,HIG,TOP,B2G,SUSY,SMP	SingleElectron	167	37	45	39	46
HLT_IsoMu22_v3	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	153	34	31	43	45
HLT_HT410to430_v3	EXO	ParkingHT410to430,ParkingScoutingMonitor	142	35	37	36	34
HLT_IsoMu22_eta2p1_v2	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	140	34	29	39	38
HLT_Ele27_WPTight_Gsf_v5	EGM,HIG,TOP,SUSY,SMP,EXO	SingleElectron	136	31	38	30	37
HLT_IsoTkMu22_v4	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	128	26	25	36	41
HLT_IsoMu24_v2	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	126	25	24	35	42
HLT_Ele25_eta2p1_WPTight_Gsf_v5	EGM,HIG,TOP,SMP	SingleElectron	114	22	32	28	32
HLT_IsoTkMu22_eta2p1_v3	SMP,Muon,HIG,TOP,B2G,SUSY	SingleMuon	114	26	23	30	35
HLT_HT550to650_v3	EXO	ParkingHT550to650,ParkingScoutingMonitor	112	27	27	27	31
HLT_HT470to500_v3	EXO	ParkingHT470to500,ParkingScoutingMonitor	110	28	22	30	30
HLT_IsoTkMu24_v3	SMP,Muon,HIG,B2G,SUSY	SingleMuon	109	20	21	31	37
HLT_Ele27_eta2p1_WPTight_Gsf_v6	EGM,SMP,EXO	SingleElectron	108	20	31	27	30
HLT_IsoMu27_v5	SMP,Muon,HIG,B2G,SUSY	SingleMuon	105	17	23	30	35
HLT_HT430to450_v3	EXO	ParkingHT430to450,ParkingScoutingMonitor	103	24	26	27	26
HLT_HT650_v4	EXO	ParkingHT650,ParkingScoutingMonitor	101	19	25	28	29
HLT_HT500to550_v3	EXO	ParkingHT500to550,ParkingScoutingMonitor	99	25	25	32	17
HLT_IsoTkMu27_v6	SMP,Muon,HIG,B2G,SUSY	SingleMuon	90	15	19	25	31
HLT_Ele32_eta2p1_WPTight_Gsf_v6	EGM,HIG	SingleElectron	86	18	23	21	24
HLT_HT450to470_v3	EXO	ParkingHT450to470,ParkingScoutingMonitor	83	23	21	18	21
HLT_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v3	TAU,HIG,EXO	Tau	80	24	24	20	12
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v4	TAU,HIG,EXO	Tau	70	22	22	15	11
HLT_Ele45_WPLoose_Gsf_v5	EGM,HIG,B2G,SMP	SingleElectron	65	12	22	13	18
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v6	TAU,HIG,EXO	Tau	59	20	19	10	10
HLT_PFHT800_v4	SUSY,B2G,EXO	JetHT	48	11	11	13	13
HLT_Mu45_eta2p1_v4	EXO,SMP,Muon,B2G	SingleMuon	38	8	7	10	13
HLT_VLooseIsoPFTau120_Trk50_eta2p1_v2	TAU	Tau	38	7	10	13	8
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v2	B2G	JetHT	37	11	7	8	11
HLT_IsoMu16_eta2p1_MET30_v2	HIG,TAU,EXO	SingleMuon	36	8	9	10	9
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v5	HIG	DoubleEG	33	11	9	7	6
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v4	BPH	DoubleMuonLowMass	31	8	7	8	8
HLT_PFHT900_v3	B2G,EXO	JetHT	31	8	9	7	7
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v3	HIG,Muon,TOP,B2G,SUSY,SMP	DoubleMuon	30	8	5	15	2
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v2	SUSY	BTagCSV	27	4	7	8	8
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v5	B2G	JetHT	27	7	6	4	10
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v5	HIG,SMP	DoubleEG	27	9	8	4	6
HLT_AK8PFJet450_v1	SMP	JetHT	26	8	5	7	6
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v5	HIG,SMP	DoubleEG	26	7	9	4	6
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v5	HIG,SMP	DoubleEG	26	6	5	6	9
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v6	EXO	DoubleEG	25	7	6	4	8
HLT_Ele105_CaloIdVT_GsfTrkIdT_v7	EXO,B2G	SingleElectron	24	4	10	4	6
HLT_PFHT750_4JetPt50_v5	EXO	JetHT	24	4	7	6	7
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet140_v4	B2G	SingleElectron	23	6	8	3	6
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack_v3	EXO	DisplacedJet	22	2	7	9	4
HLT_Mu50_v4	EXO,SMP,B2G,Muon	SingleMuon	22	5	3	8	6
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v5	TAU,HIG	SingleElectron	21	3	10	4	4
HLT_Ele15_IsoVVVL_PFHT400_v3	SUSY	SingleElectron	20	2	7	6	5
HLT_Mu17_Photon22_CaloIdL_L1ISO_v4	HIG	MuonEG	20	2	10	5	3
HLT_Ele115_CaloIdVT_GsfTrkIdT_v6	EXO,B2G	SingleElectron	20	4	8	4	4
HLT_TkMu50_v3	EXO,SMP,Muon	SingleMuon	20	4	2	7	7
HLT_VLooseIsoPFTau140_Trk50_eta2p1_v2	TAU	Tau	19	5	3	6	5
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v4	HIG,Muon,TOP,B2G,SUSY,SMP	DoubleMuon	19	3	1	11	4
HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v5	TAU,HIG	SingleElectron	19	3	9	4	3
HLT_PFJet450_v5	SMP,B2G,BTV	JetHT	18	5	3	6	4
HLT_BTagMu_DiJet170_Mu5_v2	BTV	BTagMu	18	4	5	4	5
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v7	EXO,B2G	DoubleEG	18	4	4	6	4
HLT_AK8PFJet360_TrimMass30_v4	B2G	JetHT	18	6	4	5	3
HLT_Mu55_v3	EXO,B2G	SingleMuon	17	3	3	6	5
HLT_VBF_DisplacedJet40_Hadronic_v3	EXO	DisplacedJet	17	2	5	8	2
HLT_Mu30_TkMu11_v3	EXO,B2G,SUSY	DoubleMuon	17	4	3	7	3
HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v5	EXO,B2G	JetHT	16	3	2	4	7
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v4	B2G	SingleElectron	16	5	5	3	3
HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v5	TAU,HIG	SingleElectron	15	2	4	5	4
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v6	HIG	SingleElectron	15	4	5	3	3
HLT_Photon165_HE10_v7	SUSY,EXO,SMP,EGM	SinglePhoton	15	4	4	3	4
HLT_Dimuon8_Upsilon_Barrel_v4	BPH	MuOnia	15	2	6	5	2
HLT_PFMETNoMu100_PFMHTNoMu100_IDTight_v4	HIG,EXO,SUSY	MET	14	2	4	4	4
HLT_PFHT450_SixJet40_BTagCSV_p056_v2	HIG,TOP	JetHT	14	3	4	5	2
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6	HIG,TOP,B2G,SUSY	MuonEG	14	1	3	4	6
HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15_v6	EXO	DoubleEG	14	3	4	2	5
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v7	EXO,SUSY	DoubleEG	14	4	2	5	3
HLT_Mu17_Photon30_CaloIdL_L1ISO_v6	HIG	MuonEG	13	0	8	3	2
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p55_v4	SUSY	HTMHT	13	4	2	1	6
HLT_Photon175_v7	SUSY,EXO,SMP,EGM	SinglePhoton	13	1	5	3	4
HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v2	HIG	BTagCSV	13	2	3	4	4
HLT_QuadJet45_TripleBTagCSV_p087_v3	HIG	BTagCSV	13	2	2	6	3
HLT_PFMET100_PFMHT100_IDTight_v4	HIG,SUSY	MET	13	2	4	4	3
HLT_Mu40_TkMu11_v3	EXO,B2G	DoubleMuon	13	3	3	6	1
HLT_PFHT400_SixJet30_DoubleBTagCSV_p056_v2	HIG,TOP	JetHT	13	5	0	7	1
HLT_DoubleEle37_Ele27_CaloIdL_GsfTrkIdVL_v5	EXO,B2G	DoubleEG	13	2	2	6	3
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v4	HIG,EXO,SUSY	MET	12	2	4	3	3
HLT_CaloJet500_NoJetID_v4	EXO	JetHT	12	4	2	3	3
HLT_MonoCentralPFJet80_PFMETNoMu100_PFMHTNoMu100_IDTight_v4	EXO	MET	12	2	4	3	3
HLT_DoubleMu4_JpsiTrk_Displaced_v4	BPH	Charmonium	12	3	3	5	1
HLT_PFMET100_PFMHT100_IDTight_BeamHaloCleaned_v1	JME	MET	12	2	4	3	3
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v3	HIG,Muon,TOP,B2G,SUSY,SMP	DoubleMuon	12	4	1	6	1
HLT_PFHT650_WideJetMJJ950DEtaJJ1p5_v5	EXO,B2G	JetHT	12	3	2	4	3
HLT_Ele50_IsoVVVL_PFHT400_v3	SUSY	SingleElectron	12	1	3	4	4
HLT_AK8PFJet500_v1	SMP	JetHT	12	5	2	2	3
HLT_DiCentralPFJet55_PFMET110_v3	SUSY	MET	11	1	5	3	2
HLT_PFMET110_PFMHT110_IDTight_v4	HIG,SUSY	MET	11	2	4	3	2
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4	HIG,Muon,TOP,B2G,SUSY,SMP,AlCa/Muon	DoubleMuon	11	2	0	6	3
HLT_IsoMu19_eta2p1_LooseIsoPFTau20_SingleL1_v2	TAU,HIG	SingleMuon	11	2	1	4	4
HLT_Mu17_Photon35_CaloIdL_L1ISO_v6	EXO	MuonEG	10	0	6	2	2
HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v5	EXO	MuonEG	10	1	6	1	2
HLT_Photon90_CaloIdL_PFHT500_v6	SUSY	SinglePhoton	10	2	4	0	4
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v4	SUSY	HTMHT	10	2	3	0	5
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v7	HIG,TOP,B2G,SUSY,SMP,AlCa/EGM	DoubleEG	10	4	4	2	0
HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v4	EXO	MET	10	2	4	2	2
HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau30_v1	TAU,HIG	SingleElectron	10	2	4	2	2
HLT_DiCentralPFJet430_v2	EXO	JetHT	10	3	1	3	3
HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350_v2	HIG	BTagCSV	9	2	2	3	2
HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v3	EXO	SingleMuon	9	4	2	3	0
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v6	TAU,HIG	SingleElectron	9	1	5	1	2
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v2	HIG	BTagCSV	9	2	3	4	0
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v4	HIG,EXO,SUSY	MET	9	1	2	3	3
HLT_DiCentralPFJet330_CFMax0p5_v2	EXO	JetHT	9	5	1	0	3
HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v5	TAU,HIG	SingleElectron	9	1	5	1	2
HLT_IsoMu19_eta2p1_LooseIsoPFTau20_v2	TAU,HIG	SingleMuon	9	1	0	4	4
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET90_v2	TAU,HIG,EXO	Tau	9	3	6	0	0
HLT_PFMET120_PFMHT120_IDTight_v4	HIG,SUSY	MET	9	2	2	3	2
HLT_Dimuon13_Upsilon_v3	BPH	MuOnia	9	0	5	1	3
HLT_DiCentralPFJet220_CFMax0p3_v2	EXO	JetHT	9	3	0	2	4
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v3	EXO	SingleMuon	8	3	2	3	0
HLT_PFJet500_v5	SMP,B2G,BTV	JetHT	8	4	0	2	2
HLT_DoublePhoton60_v5	EXO,EGM	DoubleEG	8	2	1	0	5
HLT_DoubleJetsC100_SingleBTagCSV_p026_v2	HIG	BTagCSV	8	3	1	2	2
HLT_Photon250_NoHE_v6	HIG	SinglePhoton	8	2	2	1	3
HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1_v2	TAU,HIG	SingleMuon	7	1	1	3	2
HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v2	HIG	BTagCSV	7	1	4	1	1
HLT_BTagMu_AK8Jet300_Mu5_v2	BTV	BTagMu	7	2	1	2	2
HLT_Ele27_WPLoose_Gsf_WHbbBoost_v6	HIG	SingleElectron	7	2	3	1	1
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v4	SUSY	HTMHT	7	2	1	0	4
HLT_DoubleMu4_3_Bs_v4	BPH	Charmonium	7	1	1	2	3
HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v4	EXO	MET	7	1	2	2	2
HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6_v2	HIG	BTagCSV	7	1	4	1	1
HLT_Mu23_TrkIsoVVL_Ele8_CaloIdL_TrackIdL_IsoVL_v4	HIG,SUSY,TOP	MuonEG	7	0	2	1	4
HLT_Mu15_IsoVVVL_PFHT400_v2	SUSY	SingleMuon	7	3	2	1	1
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v6	HIG	SinglePhoton	6	2	3	1	0
HLT_RsqMR270_Rsq0p09_MR200_v3	SUSY	HTMHT	6	1	3	2	0
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v6	HIG,SUSY,TOP	MuonEG	6	0	1	1	4
HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v6	B2G	SingleElectron	6	2	3	0	1
HLT_DoubleJetsC100_SingleBTagCSV_p014_v2	HIG	BTagCSV	6	2	1	1	2
HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v2	HIG	BTagCSV	6	2	2	1	1
HLT_PFHT300_PFMET100_v3	SUSY,EXO	HTMHT	6	1	3	1	1
HLT_DiPFJetAve220_HFJEC_v5	FSQ,JME	JetHT	6	0	3	1	2
HLT_Dimuon0_Jpsi_Muon_v3	BPH	Charmonium	6	0	1	3	2
HLT_PFHT400_DiPFJetAve90_PFAlphaT0p51_v4	SUSY	HTMHT	6	4	1	0	1
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT300_v7	SUSY	MuonEG	6	2	4	0	0
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v3	EXO	SingleMuon	5	2	2	1	0
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v3	HIG	MET	5	1	1	2	1
HLT_PFHT300_PFMET110_v3	SUSY,EXO	HTMHT	5	1	3	0	1
HLT_Mu25_TkMu0_dEta18_Onia_v4	BPH	MuOnia	5	1	0	3	1
HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v5	EXO,SUSY	MuonEG	5	1	2	0	2
HLT_HT350_DisplacedDijet40_DisplacedTrack_v4	EXO	DisplacedJet	5	1	0	3	1
HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL_v5	EXO	MuonEG	5	0	3	0	2
HLT_PFHT650_v5	EXO	JetHT	5	2	2	1	0
HLT_PFHT300_DiPFJetAve90_PFAlphaT0p53_v4	SUSY	HTMHT	5	2	1	1	1
HLT_Dimuon20_Jpsi_v3	BPH	Charmonium	5	0	0	3	2
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500_v2	HIG	BTagCSV	5	2	1	1	1
HLT_Mu17_Mu8_SameSign_v3	HIG	DoubleMuon	5	1	2	1	1
HLT_BTagMu_Jet300_Mu5_v3	BTV	BTagMu	5	2	1	1	1
HLT_Photon90_CaloIdL_PFHT600_v5	SUSY,EXO	SinglePhoton	4	1	1	0	2
