Prescale	Path	Group	Primary dataset	Total			HLTPhysics			
1	HLT_L1SingleMu16_v2	muon	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_HcalCalibration_v2	null	TestEnablesEcalHcal,TestEnablesEcalHcalDQM	0.0	±	0	0.0	±	0	
1	HLT_Mu12_Photon25_CaloIdL_v4	HIG	OnlineMonitor,MuonEG	0.0	±	0	0.0	±	0	
1	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v3	EXO	OnlineMonitor,SingleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v4	HIG	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_DoublePhoton85_v3	Egamma,EXO	OnlineMonitor,DoubleEG	0.0	±	0	0.0	±	0	
1	HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v3	TAU,HIG,EXO	OnlineMonitor,Tau	41.3343479037	±	6.23138740684	41.3343479037	±	6.23138740684	
1	HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v3	BPH	OnlineMonitor,Charmonium	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v4	EXO	OnlineMonitor,JetHT	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_DoubleMu23NoFiltersNoVtxDisplaced_v3	EXO,DisplacedSUSY	OnlineMonitor,DoubleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Ele15_IsoVVVL_PFHT400_v1	SUSY,electron+hadronic	OnlineMonitor,SingleElectron	0.0	±	0	0.0	±	0	
1	HLT_Photon30_v4	SMP	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_Mu55_v2	EXO	OnlineMonitor,SingleMuon	10.3335869759	±	3.11569370342	10.3335869759	±	3.11569370342	
1	HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v2	EXO,SUS	OnlineMonitor,MET	8.4547529803	±	2.81825099343	8.4547529803	±	2.81825099343	
1	HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v2	SUSY	OnlineMonitor,BTagCSV	22.5460079475	±	4.60218460067	22.5460079475	±	4.60218460067	
1	HLT_HT500_DisplacedDijet40_Inclusive_v3	EXO	OnlineMonitor,DisplacedJet	8.4547529803	±	2.81825099343	8.4547529803	±	2.81825099343	
1	HLT_Mu20_Mu10_v2	Higgs	OnlineMonitor,DoubleMuon	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Ele27_WPLoose_Gsf_v2	Egamma,Top,SMP,Higgs	OnlineMonitor,SingleElectron	125.881877707	±	10.8745379504	125.881877707	±	10.8745379504	
1	HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v2	Higgs	OnlineMonitor,BTagCSV	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v2	HIG	OnlineMonitor,HTMHT	0.0	±	0	0.0	±	0	
1	HLT_DiPFJet15_NoCaloMatched_v2	FSQ	OnlineMonitor,FSQJets	0.0	±	0	0.0	±	0	
1	HLT_Ele15_IsoVVVL_PFHT400_PFMET50_v1	SUSY,electron+hadronic	OnlineMonitor,SingleElectron	0.0	±	0	0.0	±	0	
1	HLT_FullTracks_Multiplicity100_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF	0.0	±	0	0.0	±	0	
1	HLT_HT425_v2	EXO	OnlineMonitor,DisplacedJet	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v3	HIG	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_Ele115_CaloIdVT_GsfTrkIdT_v3	EXO	OnlineMonitor,SingleElectron	6.57591898468	±	2.4854637536	6.57591898468	±	2.4854637536	
1	HLT_PFJet400_v5	SMP, B2G, BTV	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_PFJet260_v5	JetMET, SMP, BTV	OnlineMonitor,JetHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Mu17_TkMu8_DZ_v3	Muon	OnlineMonitor,DoubleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v4	HIG	OnlineMonitor,SinglePhoton	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_AK4PFJet100_v4	HIN	OnlineMonitor,EventDisplay,HINPFJets	0.0	±	0	0.0	±	0	
1	HLT_Photon36_R9Id90_HE10_IsoM_v4	SMP	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v2	SUSY	OnlineMonitor,DoubleEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Photon50_R9Id90_HE10_IsoM_v4	SMP	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFHT200_PFAlphaT0p51_v3	null	OnlineMonitor,HTMHT	0.0	±	0	0.0	±	0	
1	HLT_Mu17_Photon35_CaloIdL_L1ISO_v4	EXO,DisplacedSUSY	OnlineMonitor,MuonEG	4.69708498906	±	2.10060026632	4.69708498906	±	2.10060026632	
1	HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v3	EXO-Disappearing Tracks	OnlineMonitor,SingleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v3	EXO-Disappearing Tracks	OnlineMonitor,MuonEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Ele27_eta2p1_WPTight_Gsf_v3	Egamma	OnlineMonitor,SingleElectron	51.6679348796	±	6.96690291792	51.6679348796	±	6.96690291792	
1	HLT_Mu7p5_Track3p5_Jpsi_v3	BPH	OnlineMonitor,Charmonium	0.0	±	0	0.0	±	0	
1	HLT_PFHT800_v3	null	OnlineMonitor,JetHT	12.2124209715	±	3.38711615465	12.2124209715	±	3.38711615465	
1	HLT_DiCentralPFJet55_PFMET110_v2	SUSY	OnlineMonitor,MET	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_IsoMu22_v3	SMP,Top,Higgs,Muon	OnlineMonitor,SingleMuon	82.6686958074	±	8.81251258316	82.6686958074	±	8.81251258316	
1	HLT_Rsq0p30_v3	SUSY	OnlineMonitor,HTMHT	0.0	±	0	0.0	±	0	
1	HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v4	SUSY	OnlineMonitor,DoubleEG	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_DiPFJetAve80_HFJEC_v4	null	OnlineMonitor,JetHT	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PixelTracks_Multiplicity135ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF	0.0	±	0	0.0	±	0	
1	HLT_Dimuon6_Jpsi_NoVertexing_v3	BPH	OnlineMonitor,Charmonium	0.0	±	0	0.0	±	0	
1	HLT_Ele25_WPTight_Gsf_v2	EGM	OnlineMonitor,SingleElectron	87.3657807964	±	9.05940944583	87.3657807964	±	9.05940944583	
1	HLT_PFMET120_BTagCSV_p067_v2	SUSY	OnlineMonitor,MET	0.0	±	0	0.0	±	0	
1	HLT_IsoTkMu27_v4	SMP	OnlineMonitor,SingleMuon	54.486185873	±	7.15438670712	54.486185873	±	7.15438670712	
1	HLT_PFHT650_4JetPt50_v2	EXO	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV_p13_v2	null	OnlineMonitor,DoubleEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v4	HIG	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFHT350_DiPFJetAve90_PFAlphaT0p52_v3	null	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_TkMu20_v3	SMP	OnlineMonitor,SingleMuon	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1_v2	TAU,HIG	OnlineMonitor,SingleMuon	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v1	null	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_IsoMu20_v4	SMP,muon	OnlineMonitor,ExpressPhysics,SingleMuon	88.3051977942	±	9.10798571601	88.3051977942	±	9.10798571601	
1	HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v3	EXO	OnlineMonitor,DoubleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_TripleMu_12_10_5_v3	HIG	OnlineMonitor,DoubleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Photon90_CaloIdL_PFHT500_v4	SUSY	OnlineMonitor,SinglePhoton	4.69708498906	±	2.10060026632	4.69708498906	±	2.10060026632	
1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v2	null	OnlineMonitor,DoubleEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v2	EXO	OnlineMonitor,NoBPTX	9.39416997811	±	2.97069738576	9.39416997811	±	2.97069738576	
1	HLT_Mu15_IsoVVVL_PFHT400_PFMET50_v1	SUSY,electron+hadronic	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v2	HIG,TAU,EXO	OnlineMonitor,Tau	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Physics_v3	null	OnlineMonitor,ExpressPhysics,HLTPhysics	0.0	±	0	0.0	±	0	
1	HLT_AK4CaloJet30_v4	HIN	OnlineMonitor,HINCaloJets	0.0	±	0	0.0	±	0	
1	HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v3	EXO-Disappearing Tracks	OnlineMonitor,MuonEG	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_PixelTracks_Multiplicity85ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicity85EOF	0.0	±	0	0.0	±	0	
1	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v3	HIG	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_Photon90_CaloIdL_PFHT600_v3	SUSY,EXO	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_MET60_IsoTrk35_Loose_v2	EXO-Disappearing Tracks	OnlineMonitor,MET	0.0	±	0	0.0	±	0	
1	HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v3	SUSY	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Rsq0p25_v3	SUSY	OnlineMonitor,HTMHT	0.0	±	0	0.0	±	0	
1	HLT_HT500to550_v2	EXO	OnlineMonitor,ParkingHT500to550,ParkingScoutingMonitor	63.8803558512	±	7.74663101695	63.8803558512	±	7.74663101695	
1	HLT_DiPFJetAve60_v3	JME	OnlineMonitor,JetHT	0.0	±	0	0.0	±	0	
1	HLT_DiPFJetAve140_v3	JME	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu45_eta2p1_v3	EXO,SMP,muon	OnlineMonitor,SingleMuon	20.6671739518	±	4.40625629158	20.6671739518	±	4.40625629158	
1	HLT_Mu17_Photon22_CaloIdL_L1ISO_v2	HIG	OnlineMonitor,MuonEG	9.39416997811	±	2.97069738576	9.39416997811	±	2.97069738576	
1	HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v3	EXO	OnlineMonitor,SingleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v5	TAU,HIG	OnlineMonitor,SingleMuon	5.63650198687	±	2.30109230033	5.63650198687	±	2.30109230033	
1	HLT_HT450to470_v2	EXO	OnlineMonitor,ParkingHT450to470,ParkingScoutingMonitor	38.5160969103	±	6.01520374774	38.5160969103	±	6.01520374774	
1	HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v2	null	OnlineMonitor,DoubleEG	8.4547529803	±	2.81825099343	8.4547529803	±	2.81825099343	
1	HLT_CaloJet500_NoJetID_v3	null	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu27_Ele37_CaloIdL_GsfTrkIdVL_v2	null	OnlineMonitor,MuonEG	0.0	±	0	0.0	±	0	
1	HLT_JetE30_NoBPTX3BX_v2	EXO	OnlineMonitor,NoBPTX	0.0	±	0	0.0	±	0	
1	HLT_Dimuon10_Jpsi_Barrel_v3	BPH	OnlineMonitor,Charmonium	11.2730039737	±	3.25423593941	11.2730039737	±	3.25423593941	
1	HLT_DiPFJetAve35_HFJEC_v2	null	OnlineMonitor,FSQJets	0.0	±	0	0.0	±	0	
1	HLT_L1BeamGasPlus_v1	null	OnlineMonitor,Commissioning	0.0	±	0	0.0	±	0	
1	HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v4	HIG	OnlineMonitor,MuonEG	11.2730039737	±	3.25423593941	11.2730039737	±	3.25423593941	
1	HLT_Ele22_eta2p1_WPLoose_Gsf_v4	TAU,HIG	OnlineMonitor,SingleElectron	116.487707729	±	10.4609049645	116.487707729	±	10.4609049645	
1	HLT_LooseIsoPFTau50_Trk30_eta2p1_MET110_v2	null	OnlineMonitor,Tau	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v2	HIG (Hbb)	OnlineMonitor,MET	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu40_eta2p1_PFJet200_PFJet50_v4	B2G	OnlineMonitor,SingleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v3	EXO	OnlineMonitor,DisplacedJet	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_RsqMR270_Rsq0p09_MR200_v3	SUSY	OnlineMonitor,HTMHT	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFHT300_PFMET110_v2	SUSY,EXO	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_DiPFJet15_FBEta3_NoCaloMatched_v2	FSQ	OnlineMonitor,FSQJets	0.0	±	0	0.0	±	0	
1	HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v3	EXO-Disappearing Tracks	OnlineMonitor,SingleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_DiPFJet25_NoCaloMatched_v2	FSQ	OnlineMonitor,FSQJets	0.0	±	0	0.0	±	0	
1	HLT_Photon75_R9Id90_HE10_IsoM_v4	SMP	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_HT275_v2	EXO	OnlineMonitor,DisplacedJet	0.0	±	0	0.0	±	0	
1	HLT_PixelTracks_Multiplicity60ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF	0.0	±	0	0.0	±	0	
1	HLT_Photon120_R9Id90_HE10_IsoM_v4	SMP	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFJet80_v5	SMP,BTV	OnlineMonitor,JetHT	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_L1MinimumBiasHF_OR_v2	null	OnlineMonitor,L1MinimumBias	0.0	±	0	0.0	±	0	
1	HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v3	null	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Mu7p5_Track7_Jpsi_v3	BPH	OnlineMonitor,Charmonium	0.0	±	0	0.0	±	0	
1	HLT_L1FatEvents_v1	null	OnlineMonitor,Commissioning	39.4555139081	±	6.08811797049	39.4555139081	±	6.08811797049	
1	HLT_HT2500_v2	PPD	OnlineMonitor,ExpressPhysics,JetHT	0.0	±	0	0.0	±	0	
1	HLT_IsoTkMu20_v5	SMP,muon	OnlineMonitor,SingleMuon	85.4869468008	±	8.96146700689	85.4869468008	±	8.96146700689	
1	HLT_MET700_v2	PPD,AlCa	OnlineMonitor,ExpressPhysics,MET	0.0	±	0	0.0	±	0	
1	HLT_QuadPFJet_VBF_v5	HIG (Hbb)	OnlineMonitor,JetHT	0.0	±	0	0.0	±	0	
1	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v4	HIG	OnlineMonitor,DoubleEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFHT400_v3	null	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v3	EXO-Disappearing Tracks	OnlineMonitor,SingleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v2	Higgs	OnlineMonitor,BTagCSV	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_Ele27_HighEta_Ele20_Mass55_v2	ECAL	OnlineMonitor,DoubleEG	0.0	±	0	0.0	±	0	
1	HLT_DoubleMu4_JpsiTrk_Displaced_v3	BPH	OnlineMonitor,Charmonium	9.39416997811	±	2.97069738576	9.39416997811	±	2.97069738576	
1	HLT_Mu12_Photon25_CaloIdL_L1ISO_v4	HIG	OnlineMonitor,MuonEG	0.0	±	0	0.0	±	0	
1	HLT_PFMET170_JetIdCleaned_v3	null	OnlineMonitor,MET	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_HT350_DisplacedDijet80_DisplacedTrack_v3	EXO	OnlineMonitor,DisplacedJet	0.0	±	0	0.0	±	0	
1	HLT_AK8DiPFJet280_200_TrimMass30_v2	B2G	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v5	null	OnlineMonitor,DoubleEG	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v3	Muon	OnlineMonitor,DoubleMuon	7.51533598249	±	2.65707251806	7.51533598249	±	2.65707251806	
1	HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v2	EXO	OnlineMonitor,MET	7.51533598249	±	2.65707251806	7.51533598249	±	2.65707251806	
1	HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3	Muon	OnlineMonitor,ExpressPhysics,DoubleMuon	7.51533598249	±	2.65707251806	7.51533598249	±	2.65707251806	
1	HLT_Mu24_eta2p1_v3	SMP,EXO	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v4	HIG	OnlineMonitor,DoubleEG	0.0	±	0	0.0	±	0	
1	HLT_PFHT350_v4	null	OnlineMonitor,HLTMonitor,JetHT	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v2	Higgs	OnlineMonitor,BTagCSV	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3	B2G	OnlineMonitor,JetHT	15.030671965	±	3.75766799124	15.030671965	±	3.75766799124	
1	HLT_RsqMR270_Rsq0p09_MR200_4jet_v3	SUSY	OnlineMonitor,HTMHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20_v2	B2G	OnlineMonitor,JetHT	14.0912549672	±	3.63834638767	14.0912549672	±	3.63834638767	
1	HLT_DoubleEle33_CaloIdL_MW_v2	EXO-Disappearing Tracks	OnlineMonitor,DoubleEG	4.69708498906	±	2.10060026632	4.69708498906	±	2.10060026632	
1	HLT_Mu17_Photon30_CaloIdL_L1ISO_v4	HIG	OnlineMonitor,MuonEG	6.57591898468	±	2.4854637536	6.57591898468	±	2.4854637536	
1	HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT250_v2	null	OnlineMonitor,MuonEG	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_QuadMuon0_Dimuon0_Jpsi_v3	BPH	OnlineMonitor,Charmonium	0.0	±	0	0.0	±	0	
1	HLT_Mu17_Mu8_SameSign_DZ_v2	null	OnlineMonitor,DoubleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Photon135_PFMET100_v2	EXO	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v3	EXO	OnlineMonitor,DisplacedJet	0.0	±	0	0.0	±	0	
1	HLT_PFMET300_v2	PPD	OnlineMonitor,MET	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v3	EXO	OnlineMonitor,DisplacedJet	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Mu17_v3	SUSY	OnlineMonitor,DoubleMuon	32.8795949234	±	5.55766590865	32.8795949234	±	5.55766590865	
1	HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v2	HIG (Hbb)	OnlineMonitor,BTagCSV	5.63650198687	±	2.30109230033	5.63650198687	±	2.30109230033	
1	HLT_PixelTracks_Multiplicity160ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF	0.0	±	0	0.0	±	0	
1	HLT_HISinglePhoton15_v3	HIN	OnlineMonitor,HINPhoton	0.0	±	0	0.0	±	0	
1	HLT_Photon120_v4	SMP	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v4	SUSY	OnlineMonitor,DoubleEG	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DoubleMu38NoFiltersNoVtx_v3	EXO,DisplacedSUSY	OnlineMonitor,DoubleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Ele17_CaloIdL_GsfTrkIdVL_v2	null	OnlineMonitor,DoubleEG	41.3343479037	±	6.23138740684	41.3343479037	±	6.23138740684	
1	HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v2	B2G	OnlineMonitor,JetHT	14.0912549672	±	3.63834638767	14.0912549672	±	3.63834638767	
1	HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v4	HIG	OnlineMonitor,MuonEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_BTagMu_Jet300_Mu5_v3	BTV	OnlineMonitor,BTagMu	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_JetE30_NoBPTX_v3	EXO	OnlineMonitor,NoBPTX	0.0	±	0	0.0	±	0	
